Iteration,Objective,Score,MinOut,MaxOut,stdDevMinOutPos,stdDevMinOutNeg,StdDevMaxOutPos,StdDevMaxOutNeg,HyperplanePercentage
85,1.75483e+06,0,-0.516047,-nan,0.00100141,0.000970805,-nan,-nan,2.27004e-15
86,1.74653e+06,0,-0.519485,-nan,0.000989449,0.000958953,-nan,-nan,2.28072e-15
87,1.73833e+06,0,-0.522883,-nan,0.000977632,0.000947241,-nan,-nan,2.29136e-15
88,1.73023e+06,0,-0.52624,-nan,0.000965957,0.000935669,-nan,-nan,2.30198e-15
89,1.72222e+06,0,-0.529557,-nan,0.000954422,0.000924235,-nan,-nan,2.31257e-15
90,1.71431e+06,0,-0.532835,-nan,0.000943024,0.000912938,-nan,-nan,2.32313e-15
91,1.7065e+06,0,-0.536074,-nan,0.000931919,0.000901627,-nan,-nan,2.33365e-15
92,1.69878e+06,0,-0.539273,-nan,0.00092079,0.000890599,-nan,-nan,2.34415e-15
93,1.69115e+06,0,-0.542435,-nan,0.000909794,0.000879703,-nan,-nan,2.35461e-15
94,1.68361e+06,0,-0.545559,-nan,0.00089893,0.000868937,-nan,-nan,2.36504e-15
95,1.67616e+06,0,-0.548646,-nan,0.000888196,0.0008583,-nan,-nan,2.37544e-15
96,1.6688e+06,0,-0.551696,-nan,0.00087759,0.000847789,-nan,-nan,2.3858e-15
97,1.66153e+06,0,-0.554709,-nan,0.000867257,0.000837266,-nan,-nan,2.39613e-15
98,1.65434e+06,0,-0.557687,-nan,0.000856901,0.000827006,-nan,-nan,2.40642e-15
99,1.64724e+06,0,-0.560629,-nan,0.000846669,0.000816869,-nan,-nan,2.41668e-15
100,1.64023e+06,0,-0.563536,-nan,0.00083656,0.000806853,-nan,-nan,2.42689e-15
101,1.63329e+06,0,-0.566408,-nan,0.000826572,0.000796956,-nan,-nan,2.43708e-15
102,1.62645e+06,0,-0.569246,-nan,0.000816703,0.000787177,-nan,-nan,2.44722e-15
103,1.61968e+06,0,-0.572051,-nan,0.000807088,0.000777387,-nan,-nan,2.45733e-15
104,1.61299e+06,0,-0.574821,-nan,0.000797452,0.000767842,-nan,-nan,2.4674e-15
105,1.60639e+06,0,-0.577559,-nan,0.000787931,0.000758411,-nan,-nan,2.47742e-15
106,1.59986e+06,0,-0.580264,-nan,0.000778525,0.000749092,-nan,-nan,2.48741e-15
107,1.59341e+06,0,-0.582937,-nan,0.000769231,0.000739884,-nan,-nan,2.49736e-15
108,1.58704e+06,0,-0.585578,-nan,0.000760048,0.000730787,-nan,-nan,2.50727e-15
109,1.58074e+06,0,-0.588187,-nan,0.000750975,0.000721798,-nan,-nan,2.51714e-15
110,1.57452e+06,0,-0.590765,-nan,0.000742135,0.000712798,-nan,-nan,2.52696e-15
111,1.56837e+06,0,-0.593313,-nan,0.000733277,0.000704024,-nan,-nan,2.53674e-15
112,1.5623e+06,0,-0.59583,-nan,0.000724524,0.000695354,-nan,-nan,2.54649e-15
113,1.55629e+06,0,-0.598317,-nan,0.000715877,0.000686788,-nan,-nan,2.55618e-15
114,1.55036e+06,0,-0.600774,-nan,0.000707333,0.000678324,-nan,-nan,2.56584e-15
115,1.5445e+06,0,-0.603203,-nan,0.000698891,0.000669961,-nan,-nan,2.57545e-15
116,1.53871e+06,0,-0.605602,-nan,0.000690666,0.000661589,-nan,-nan,2.58501e-15
117,1.53299e+06,0,-0.607972,-nan,0.000682424,0.000653425,-nan,-nan,2.59454e-15
118,1.52734e+06,0,-0.610314,-nan,0.000674281,0.00064536,-nan,-nan,2.60401e-15
119,1.52176e+06,0,-0.612629,-nan,0.000666235,0.00063739,-nan,-nan,2.61344e-15
120,1.51624e+06,0,-0.614916,-nan,0.000658285,0.000629516,-nan,-nan,2.62283e-15
121,1.51079e+06,0,-0.617175,-nan,0.000650431,0.000621735,-nan,-nan,2.63217e-15
122,1.5054e+06,0,-0.619407,-nan,0.000642779,0.000613946,-nan,-nan,2.64146e-15
123,1.50008e+06,0,-0.621613,-nan,0.000635111,0.000606351,-nan,-nan,2.65071e-15
124,1.49482e+06,0,-0.623793,-nan,0.000627534,0.000598847,-nan,-nan,2.65991e-15
125,1.48962e+06,0,-0.625946,-nan,0.000620048,0.000591433,-nan,-nan,2.66906e-15
126,1.48449e+06,0,-0.628074,-nan,0.000612652,0.000584107,-nan,-nan,2.67816e-15
127,1.47941e+06,0,-0.630177,-nan,0.000605345,0.000576868,-nan,-nan,2.68722e-15
128,1.4744e+06,0,-0.632254,-nan,0.000598226,0.000569622,-nan,-nan,2.69622e-15
129,1.46945e+06,0,-0.634307,-nan,0.000591092,0.000562557,-nan,-nan,2.70518e-15
130,1.46455e+06,0,-0.636335,-nan,0.000584043,0.000555575,-nan,-nan,2.71409e-15
131,1.45972e+06,0,-0.638339,-nan,0.000577079,0.000548677,-nan,-nan,2.72295e-15
132,1.45494e+06,0,-0.640319,-nan,0.000570198,0.000541862,-nan,-nan,2.73176e-15
133,1.45022e+06,0,-0.642275,-nan,0.0005634,0.000535127,-nan,-nan,2.74053e-15
134,1.44555e+06,0,-0.644208,-nan,0.000556684,0.000528473,-nan,-nan,2.74924e-15
135,1.44094e+06,0,-0.646118,-nan,0.000550141,0.000521813,-nan,-nan,2.7579e-15
136,1.43639e+06,0,-0.648006,-nan,0.000543584,0.000515318,-nan,-nan,2.76651e-15
137,1.43189e+06,0,-0.64987,-nan,0.000537105,0.000508901,-nan,-nan,2.77507e-15
138,1.42744e+06,0,-0.651713,-nan,0.000530704,0.00050256,-nan,-nan,2.78358e-15
139,1.42305e+06,0,-0.653533,-nan,0.000524381,0.000496295,-nan,-nan,2.79204e-15
140,1.41871e+06,0,-0.655332,-nan,0.000518133,0.000490104,-nan,-nan,2.80045e-15
141,1.41442e+06,0,-0.657109,-nan,0.000512046,0.000483908,-nan,-nan,2.80881e-15
142,1.41018e+06,0,-0.658865,-nan,0.000505947,0.000477866,-nan,-nan,2.81711e-15
143,1.40599e+06,0,-0.660601,-nan,0.00049992,0.000471895,-nan,-nan,2.82537e-15
144,1.40186e+06,0,-0.662315,-nan,0.000493966,0.000465996,-nan,-nan,2.83357e-15
145,1.39777e+06,0,-0.664009,-nan,0.000488084,0.000460168,-nan,-nan,2.84172e-15
146,1.39373e+06,0,-0.665683,-nan,0.000482272,0.000454409,-nan,-nan,2.84982e-15
147,1.38974e+06,0,-0.667337,-nan,0.000476611,0.000448644,-nan,-nan,2.85787e-15
148,1.38579e+06,0,-0.668971,-nan,0.000470938,0.000443023,-nan,-nan,2.86586e-15
149,1.3819e+06,0,-0.670586,-nan,0.000465332,0.000437469,-nan,-nan,2.8738e-15
150,1.37805e+06,0,-0.672181,-nan,0.000459795,0.000431981,-nan,-nan,2.88169e-15
151,1.37424e+06,0,-0.673757,-nan,0.000454323,0.000426558,-nan,-nan,2.88953e-15
152,1.37049e+06,0,-0.675315,-nan,0.000448918,0.0004212,-nan,-nan,2.89732e-15
153,1.36677e+06,0,-0.676854,-nan,0.000443578,0.000415907,-nan,-nan,2.90505e-15
154,1.3631e+06,0,-0.678375,-nan,0.000438376,0.000410609,-nan,-nan,2.91273e-15
155,1.35948e+06,0,-0.679877,-nan,0.000433163,0.000405441,-nan,-nan,2.92036e-15
156,1.35589e+06,0,-0.681362,-nan,0.000428013,0.000400336,-nan,-nan,2.92793e-15
157,1.35235e+06,0,-0.682828,-nan,0.000422925,0.000395291,-nan,-nan,2.93546e-15
158,1.34886e+06,0,-0.684278,-nan,0.000417898,0.000390307,-nan,-nan,2.94293e-15
159,1.3454e+06,0,-0.68571,-nan,0.000412932,0.000385382,-nan,-nan,2.95034e-15
160,1.34199e+06,0,-0.687125,-nan,0.000408094,0.000380454,-nan,-nan,2.95771e-15
161,1.33861e+06,0,-0.688523,-nan,0.000403246,0.000375647,-nan,-nan,2.96502e-15
162,1.33528e+06,0,-0.689904,-nan,0.000398524,0.000370836,-nan,-nan,2.97228e-15
163,1.33199e+06,0,-0.691269,-nan,0.000393792,0.000366144,-nan,-nan,2.97949e-15
164,1.32873e+06,0,-0.692618,-nan,0.000389248,0.000361389,-nan,-nan,2.98664e-15
165,1.32552e+06,0,-0.69395,-nan,0.000384693,0.000356751,-nan,-nan,2.99374e-15
166,1.32234e+06,0,-0.695267,-nan,0.000380256,0.000352111,-nan,-nan,3.00079e-15
167,1.3192e+06,0,-0.696568,-nan,0.000376063,0.000347358,-nan,-nan,3.00779e-15
168,1.3161e+06,0,-0.697854,-nan,0.000371665,0.00034289,-nan,-nan,3.01474e-15
169,1.31303e+06,0,-0.699124,-nan,0.000367444,0.000338366,-nan,-nan,3.02163e-15
170,1.31e+06,0,-0.700379,-nan,0.000363273,0.000333898,-nan,-nan,3.02847e-15
171,1.30701e+06,0,-0.701619,-nan,0.00035915,0.000329486,-nan,-nan,3.03526e-15
172,1.30405e+06,0,-0.702844,-nan,0.000355136,0.000325077,-nan,-nan,3.04199e-15
173,1.30113e+06,0,-0.704055,-nan,0.000351227,0.00032067,-nan,-nan,3.04867e-15
174,1.29825e+06,0,-0.705251,-nan,0.000347305,0.000316373,-nan,-nan,3.05531e-15
175,1.29539e+06,0,-0.706433,-nan,0.000343486,0.000312079,-nan,-nan,3.06189e-15
176,1.29258e+06,0,-0.7076,-nan,0.000339594,0.00030794,-nan,-nan,3.06841e-15
177,1.28979e+06,0,-0.708754,-nan,0.000335864,0.000303754,-nan,-nan,3.07489e-15
178,1.28704e+06,0,-0.709894,-nan,0.000332175,0.000299623,-nan,-nan,3.08132e-15
179,1.28432e+06,0,-0.711021,-nan,0.000328473,0.000295593,-nan,-nan,3.08769e-15
180,1.28164e+06,0,-0.712134,-nan,0.000324814,0.000291613,-nan,-nan,3.09401e-15
181,1.27898e+06,0,-0.713234,-nan,0.00032103,0.000287824,-nan,-nan,3.10028e-15
182,1.27636e+06,0,-0.71432,-nan,0.000317731,0.000283714,-nan,-nan,3.1065e-15
183,1.27377e+06,0,-0.715394,-nan,0.000313979,0.000280066,-nan,-nan,3.11267e-15
184,1.27121e+06,0,-0.716455,-nan,0.000310487,0.000276284,-nan,-nan,3.11879e-15
185,1.26868e+06,0,-0.717503,-nan,0.000306876,0.000272681,-nan,-nan,3.12486e-15
186,1.26618e+06,0,-0.718539,-nan,0.000303414,0.000269035,-nan,-nan,3.13088e-15
187,1.26371e+06,0,-0.719562,-nan,0.000299836,0.000265563,-nan,-nan,3.13685e-15
188,1.26127e+06,0,-0.720573,-nan,0.000296508,0.000261964,-nan,-nan,3.14276e-15
189,1.25886e+06,0,-0.721573,-nan,0.000293014,0.000258576,-nan,-nan,3.14863e-15
190,1.25648e+06,0,-0.72256,-nan,0.000289714,0.000255107,-nan,-nan,3.15445e-15
191,1.25412e+06,0,-0.723535,-nan,0.000286354,0.000251761,-nan,-nan,3.16022e-15
192,1.2518e+06,0,-0.724499,-nan,0.000283034,0.000248456,-nan,-nan,3.16594e-15
193,1.2495e+06,0,-0.725451,-nan,0.000279754,0.000245191,-nan,-nan,3.17161e-15
194,1.24723e+06,0,-0.726392,-nan,0.000276513,0.000241966,-nan,-nan,3.17723e-15
195,1.24499e+06,0,-0.727322,-nan,0.000273312,0.000238779,-nan,-nan,3.1828e-15
196,1.24277e+06,0,-0.72824,-nan,0.00027015,0.000235632,-nan,-nan,3.18833e-15
197,1.24058e+06,0,-0.729148,-nan,0.000267025,0.000232523,-nan,-nan,3.1938e-15
198,1.23841e+06,0,-0.730045,-nan,0.000263893,0.000229488,-nan,-nan,3.19923e-15
199,1.23628e+06,0,-0.730931,-nan,0.00026089,0.000226417,-nan,-nan,3.20461e-15
200,1.23416e+06,0,-0.731807,-nan,0.000257923,0.000223384,-nan,-nan,3.20994e-15
201,1.23208e+06,0,-0.732672,-nan,0.000254902,0.000220459,-nan,-nan,3.21523e-15
202,1.23001e+06,0,-0.733527,-nan,0.000252051,0.000217464,-nan,-nan,3.22047e-15
203,1.22797e+06,0,-0.734371,-nan,0.00024919,0.000214542,-nan,-nan,3.22566e-15
204,1.22596e+06,0,-0.735206,-nan,0.000246363,0.000211655,-nan,-nan,3.2308e-15
205,1.22397e+06,0,-0.73603,-nan,0.00024357,0.000208804,-nan,-nan,3.2359e-15
206,1.222e+06,0,-0.736845,-nan,0.000240853,0.000205956,-nan,-nan,3.24095e-15
207,1.22006e+06,0,-0.73765,-nan,0.000238127,0.000203175,-nan,-nan,3.24595e-15
208,1.21814e+06,0,-0.738445,-nan,0.000235474,0.000200397,-nan,-nan,3.25091e-15
209,1.21625e+06,0,-0.739231,-nan,0.000232813,0.000197685,-nan,-nan,3.25582e-15
210,1.21437e+06,0,-0.740008,-nan,0.000230183,0.000195007,-nan,-nan,3.26069e-15
211,1.21252e+06,0,-0.740775,-nan,0.000227586,0.000192361,-nan,-nan,3.26551e-15
212,1.21069e+06,0,-0.741533,-nan,0.000225099,0.000189689,-nan,-nan,3.27029e-15
213,1.20888e+06,0,-0.742282,-nan,0.000222563,0.000187109,-nan,-nan,3.27503e-15
214,1.2071e+06,0,-0.743023,-nan,0.000220058,0.000184561,-nan,-nan,3.27971e-15
215,1.20533e+06,0,-0.743754,-nan,0.000217621,0.000182016,-nan,-nan,3.28436e-15
216,1.20359e+06,0,-0.744477,-nan,0.000215138,0.00017956,-nan,-nan,3.28896e-15
217,1.20187e+06,0,-0.745191,-nan,0.000212798,0.00017705,-nan,-nan,3.29352e-15
